,Set Number,Name,Rarity,Category,Print,cardmarket url,cardmarket url uk
91,POTE-EN087,"Shif, Fairy of the Ghoti",Super Rare,Effect Tuner monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Shif-Fairy-of-the-Ghoti,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Shif-Fairy-of-the-Ghoti?sellerCountry=13
92,POTE-EN088,"Eanoc, Sentry of the Ghoti",Common,Effect Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Eanoc-Sentry-of-the-Ghoti,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Eanoc-Sentry-of-the-Ghoti?sellerCountry=13
93,POTE-EN089,"Askaan, the Bicorned Ghoti",Common,Effect Synchro Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Askaan-the-Bicorned-Ghoti,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Askaan-the-Bicorned-Ghoti?sellerCountry=13
94,POTE-EN090,"The Most Distant, Deepest Depths",Common,Field Spell,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/The-Most-Distant-Deepest-Depths,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/The-Most-Distant-Deepest-Depths?sellerCountry=13
95,POTE-EN091,Ghoti Chain,Common,Normal Trap,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Ghoti-Chain,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Ghoti-Chain?sellerCountry=13
96,POTE-EN092,"Loris, Lady of Lament",Super Rare,Effect Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Loris-Lady-of-Lament,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Loris-Lady-of-Lament?sellerCountry=13
97,POTE-EN093,Morphtronic Telefon,Common,Effect Tuner monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Morphtronic-Telefon,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Morphtronic-Telefon?sellerCountry=13
98,POTE-EN094,Gadget Gamer,Common,Effect Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Gadget-Gamer,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Gadget-Gamer?sellerCountry=13
99,POTE-EN095,Morphtronic Scannen,Common,Effect Tuner monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Morphtronic-Scannen,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Morphtronic-Scannen?sellerCountry=13
100,POTE-EN096,Morphtronic Earfon,Common,Effect Synchro Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Morphtronic-Earfon,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Morphtronic-Earfon?sellerCountry=13
101,POTE-EN097,Power Tool Braver Dragon,Super Rare,Effect Synchro Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Power-Tool-Braver-Dragon,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Power-Tool-Braver-Dragon?sellerCountry=13
102,POTE-EN098,Morphtronic Converter,Common,Normal Spell,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Morphtronic-Converter,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Morphtronic-Converter?sellerCountry=13
103,POTE-EN099,Life Extreme,Common,Equip Spell,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Life-Extreme,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Life-Extreme?sellerCountry=13
104,POTE-EN100,Destiny HERO - Destroyer Phoenix Enforcer,Starlight Rare,Effect Fusion Monster,Reprint,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Destiny-HERO-Destroyer-Phoenix-Enforcer,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Destiny-HERO-Destroyer-Phoenix-Enforcer?sellerCountry=13
105,POTE-ENSP1,Ghoti of the Deep Beyond,Ultra Rare,Effect Synchro Monster,New,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Ghoti-of-the-Deep-Beyond-V2-Ultra-Rare,https://www.cardmarket.com//en/YuGiOh/Products/Singles/Power-of-the-Elements/Ghoti-of-the-Deep-Beyond-V2-Ultra-Rare?sellerCountry=13
